TFs_Dorothea	condition	score	p_value
HNF4A	CRC_ACCC_06	2.2162809981085827	0.031
HNF4A	CRC_ACCC_07	1.8570735604740403	0.036
HNF4A	CRC_ACCC_08	3.230830228723457	0.001
HNF4A	CRC_ACCC_09	-3.987843750993113	0.001
HNF4A	CRC_ACCC_11	3.1205786807679794	0.03
HNF4A	CRC_ACCC_12	2.386866928358889	0.051
HNF4A	CRC_ACCC_13	2.4332364773548156	0.082
HNF4A	CRC_ACCC_14	-0.26809993076984107	0.724
HNF4A	CRC_ACCC_15	0.5718667014683373	0.416
HNF4A	CRC_ACCC_16	1.403315608229051	0.097
HNF4A	CRC_ACCC_17	-1.322845954305756	0.19
HNF4A	CRC_ACCC_18	0.14656428998001772	0.668
HNF4A	CRC_ACCC_19	1.85614339431759	0.061
HNF4A	CRC_ACCC_20	-0.3646686695334328	0.931
HNF4A	CRC_ACCC_21	-2.347209483947379	0.015
HNF4A	CRC_ACCC_22	2.486377342163583	0.006
HNF4A	CRC_ACCC_23	2.432899193400782	0.024
HNF4A	CRC_ACCC_24	-1.2179731380621015	0.12
HNF4A	CRC_ACCC_25	-0.13909728715372105	0.977
HNF4A	CRC_ACCC_26	-3.6922936228862264	0.001
HNF4A	CRC_ACCC_27	1.3195921611452528	0.454
HNF4A	CRC_ACCC_28	-0.2933677165713151	0.626
HNF4A	CRC_ACCC_29	-3.5821541879286225	0.001
IRF1	CRC_ACCC_01	-1.6604565982761328	0.069
IRF1	CRC_ACCC_02	2.242868168288026	0.019
IRF1	CRC_ACCC_03	-0.26620468458552304	0.803
IRF1	CRC_ACCC_04	-1.628567888856448	0.086
IRF1	CRC_ACCC_05	-2.1933850812634135	0.032
IRF1	CRC_ACCC_06	-1.0218419007784947	0.289
IRF1	CRC_ACCC_07	1.1732342113480114	0.184
IRF1	CRC_ACCC_08	-0.03506565738374649	0.854
IRF1	CRC_ACCC_09	5.7230188573543215	0.001
IRF1	CRC_ACCC_11	0.18738618839664586	0.866
IRF1	CRC_ACCC_12	0.5163045927337141	0.754
IRF1	CRC_ACCC_13	-1.7782239403544209	0.047
IRF1	CRC_ACCC_14	-0.3814467114841049	0.987
IRF1	CRC_ACCC_15	-0.3711408154300363	0.836
IRF1	CRC_ACCC_16	3.3126199811711614	0.002
IRF1	CRC_ACCC_17	0.48166912225008957	0.602
